x y z u_s_num u_c_num u_s_exact u_c_exact err_s err_c
0 0 0 0 1 0 1 0 -1.11022e-16
0.0416667 0 0 0 0.991445 0 0.991445 0 -1.11022e-16
0.0833333 0 0 0 0.965926 0 0.965926 0 -1.11022e-16
0.125 0 0 0 0.92388 0 0.92388 0 -1.11022e-16
0.166667 0 0 0 0.866025 0 0.866025 0 -1.11022e-16
0.208333 0 0 0 0.793353 0 0.793353 0 -1.11022e-16
0.25 0 0 0 0.707107 0 0.707107 0 -1.11022e-16
0.291667 0 0 0 0.608761 0 0.608761 0 -1.11022e-16
0.333333 0 0 0 0.5 0 0.5 0 -1.11022e-16
0.375 0 0 0 0.382683 0 0.382683 0 -5.55112e-17
0.416667 0 0 0 0.258819 0 0.258819 0 -5.55112e-17
0.458333 0 0 0 0.130526 0 0.130526 0 -2.77556e-17
0.5 0 0 0 6.12323e-17 0 6.12323e-17 0 -1.2326e-32
0.541667 0 0 0 -0.130526 0 -0.130526 0 2.77556e-17
0.583333 0 0 0 -0.258819 0 -0.258819 0 5.55112e-17
0.625 0 0 0 -0.382683 0 -0.382683 0 5.55112e-17
0.666667 0 0 0 -0.5 0 -0.5 0 5.55112e-17
0.708333 0 0 0 -0.608761 0 -0.608761 0 1.11022e-16
0.75 0 0 0 -0.707107 0 -0.707107 0 1.11022e-16
0.791667 0 0 0 -0.793353 0 -0.793353 0 1.11022e-16
0.833333 0 0 0 -0.866025 0 -0.866025 0 1.11022e-16
0.875 0 0 0 -0.92388 0 -0.92388 0 1.11022e-16
0.916667 0 0 0 -0.965926 0 -0.965926 0 1.11022e-16
0.958333 0 0 0 -0.991445 0 -0.991445 0 1.11022e-16
1 0 0 0 -1 0 -1 0 1.11022e-16
0 0.0416667 0 0 0.991445 0 0.991445 0 -1.11022e-16
0.0416667 0.0416667 0 0 0.982963 0 0.982963 0 -1.11022e-16
0.0833333 0.0416667 0 0 0.957662 0 0.957662 0 -1.11022e-16
0.125 0.0416667 0 0 0.915976 0 0.915976 0 -1.11022e-16
